Province and City,Gender,Age group,Year,Population,Unemployment rate,Employment rate,Population Total
"St. John's, Newfoundland and Labrador",Men,15 to 24 years,2021,12.1,15.2,54.5,12100
"St. John's, Newfoundland and Labrador",Men,15 to 24 years,2022,14.3,13,60.8,14300
"St. John's, Newfoundland and Labrador",Men,15 to 24 years,2023,14.3,13.3,54.5,14300
"St. John's, Newfoundland and Labrador",Men,15 to 24 years,2024,15,17.2,55.3,15000
"St. John's, Newfoundland and Labrador",Men,15 to 24 years,2025,15.9,16.8,53.5,15900
"St. John's, Newfoundland and Labrador",Men,25 to 54 years,2021,44.6,8.4,81.2,44600
"St. John's, Newfoundland and Labrador",Men,25 to 54 years,2022,46.4,6.8,85.8,46400
"St. John's, Newfoundland and Labrador",Men,25 to 54 years,2023,46.5,5.5,85.6,46500
"St. John's, Newfoundland and Labrador",Men,25 to 54 years,2024,48.2,7,85.9,48200
"St. John's, Newfoundland and Labrador",Men,25 to 54 years,2025,50.2,6.4,84.9,50200
"St. John's, Newfoundland and Labrador",Men,55 years and over,2021,33.5,11.6,34.3,33500
"St. John's, Newfoundland and Labrador",Men,55 years and over,2022,32.2,9.6,37.9,32200
"St. John's, Newfoundland and Labrador",Men,55 years and over,2023,34.4,5.4,35.5,34400
"St. John's, Newfoundland and Labrador",Men,55 years and over,2024,35.3,7.5,34.8,35300
"St. John's, Newfoundland and Labrador",Men,55 years and over,2025,34.4,7.7,38.4,34400
"St. John's, Newfoundland and Labrador",Women,15 to 24 years,2021,13,13.3,60,13000
"St. John's, Newfoundland and Labrador",Women,15 to 24 years,2022,13.9,6.2,65.5,13900
"St. John's, Newfoundland and Labrador",Women,15 to 24 years,2023,14.5,10.2,60.7,14500
"St. John's, Newfoundland and Labrador",Women,15 to 24 years,2024,15.3,8.4,64.1,15300
"St. John's, Newfoundland and Labrador",Women,15 to 24 years,2025,15.5,13,55.5,15500
"St. John's, Newfoundland and Labrador",Women,25 to 54 years,2021,45.5,4.6,82,45500
"St. John's, Newfoundland and Labrador",Women,25 to 54 years,2022,46.4,4.2,83.2,46400
"St. John's, Newfoundland and Labrador",Women,25 to 54 years,2023,46.8,4.6,83.5,46800
"St. John's, Newfoundland and Labrador",Women,25 to 54 years,2024,47.6,4.1,83.8,47600
"St. John's, Newfoundland and Labrador",Women,25 to 54 years,2025,50.2,5.4,83.3,50200
"St. John's, Newfoundland and Labrador",Women,55 years and over,2021,37,7.1,24.9,37000
"St. John's, Newfoundland and Labrador",Women,55 years and over,2022,35.8,5.5,28.8,35800
"St. John's, Newfoundland and Labrador",Women,55 years and over,2023,38.5,x,27.8,38500
"St. John's, Newfoundland and Labrador",Women,55 years and over,2024,40.4,5.9,27.5,40400
"St. John's, Newfoundland and Labrador",Women,55 years and over,2025,40.2,x,29.4,40200
"Halifax, Nova Scotia",Men,15 to 24 years,2021,29.3,15.5,59.4,29300
"Halifax, Nova Scotia",Men,15 to 24 years,2022,32.7,11.6,58.7,32700
"Halifax, Nova Scotia",Men,15 to 24 years,2023,34.4,11.7,59,34400
"Halifax, Nova Scotia",Men,15 to 24 years,2024,33.6,11.5,59.5,33600
"Halifax, Nova Scotia",Men,15 to 24 years,2025,35.8,13.4,57.5,35800
"Halifax, Nova Scotia",Men,25 to 54 years,2021,97.2,6.9,86.1,97200
"Halifax, Nova Scotia",Men,25 to 54 years,2022,100.8,4.6,87.4,100800
"Halifax, Nova Scotia",Men,25 to 54 years,2023,106.1,4.4,87.9,106100
"Halifax, Nova Scotia",Men,25 to 54 years,2024,112.4,5,88.1,112400
"Halifax, Nova Scotia",Men,25 to 54 years,2025,119.4,5.5,87.1,119400
"Halifax, Nova Scotia",Men,55 years and over,2021,68,6.1,41,68000
"Halifax, Nova Scotia",Men,55 years and over,2022,69.4,2.9,42.9,69400
"Halifax, Nova Scotia",Men,55 years and over,2023,69.4,5.7,40.5,69400
"Halifax, Nova Scotia",Men,55 years and over,2024,74.8,4.3,41.8,74800
"Halifax, Nova Scotia",Men,55 years and over,2025,70.8,3.9,41.7,70800
"Halifax, Nova Scotia",Women,15 to 24 years,2021,28.8,13.6,61.5,28800
"Halifax, Nova Scotia",Women,15 to 24 years,2022,29.2,7.4,68.5,29200
"Halifax, Nova Scotia",Women,15 to 24 years,2023,31.3,9.3,62.3,31300
"Halifax, Nova Scotia",Women,15 to 24 years,2024,29.9,10,63.2,29900
"Halifax, Nova Scotia",Women,15 to 24 years,2025,32.8,11.7,59.8,32800
"Halifax, Nova Scotia",Women,25 to 54 years,2021,102.4,5.1,83.1,102400
"Halifax, Nova Scotia",Women,25 to 54 years,2022,103.1,3.5,83.6,103100
"Halifax, Nova Scotia",Women,25 to 54 years,2023,110.2,4.4,82.9,110200
"Halifax, Nova Scotia",Women,25 to 54 years,2024,114.4,4.7,84.2,114400
"Halifax, Nova Scotia",Women,25 to 54 years,2025,117.8,3.7,82.2,117800
"Halifax, Nova Scotia",Women,55 years and over,2021,74,8.3,29.7,74000
"Halifax, Nova Scotia",Women,55 years and over,2022,77.5,5.8,29.5,77500
"Halifax, Nova Scotia",Women,55 years and over,2023,76.5,4,31.2,76500
"Halifax, Nova Scotia",Women,55 years and over,2024,81.1,3.8,30.8,81100
"Halifax, Nova Scotia",Women,55 years and over,2025,79.9,2.9,29.3,79900
"Moncton, New Brunswick",Men,15 to 24 years,2021,9.6,16.4,63.5,9600
"Moncton, New Brunswick",Men,15 to 24 years,2022,9.3,12.1,62.4,9300
"Moncton, New Brunswick",Men,15 to 24 years,2023,10.3,11.9,57.3,10300
"Moncton, New Brunswick",Men,15 to 24 years,2024,10.1,11.5,53.5,10100
"Moncton, New Brunswick",Men,15 to 24 years,2025,11.8,17.3,52.5,11800
"Moncton, New Brunswick",Men,25 to 54 years,2021,34,6,87.4,34000
"Moncton, New Brunswick",Men,25 to 54 years,2022,33.5,3.9,87.5,33500
"Moncton, New Brunswick",Men,25 to 54 years,2023,36,5.1,88.3,36000
"Moncton, New Brunswick",Men,25 to 54 years,2024,38.9,5.6,87.4,38900
"Moncton, New Brunswick",Men,25 to 54 years,2025,41.5,3.9,88.9,41500
"Moncton, New Brunswick",Men,55 years and over,2021,22.3,6.3,39.9,22300
"Moncton, New Brunswick",Men,55 years and over,2022,25.3,x,39.1,25300
"Moncton, New Brunswick",Men,55 years and over,2023,24.9,6.3,35.7,24900
"Moncton, New Brunswick",Men,55 years and over,2024,27.3,6.4,37.4,27300
"Moncton, New Brunswick",Men,55 years and over,2025,27,5.4,38.9,27000
"Moncton, New Brunswick",Women,15 to 24 years,2021,9.5,13.2,61.1,9500
"Moncton, New Brunswick",Women,15 to 24 years,2022,8.9,10.2,59.6,8900
"Moncton, New Brunswick",Women,15 to 24 years,2023,10.9,9,66.1,10900
"Moncton, New Brunswick",Women,15 to 24 years,2024,10.3,11.1,63.1,10300
"Moncton, New Brunswick",Women,15 to 24 years,2025,11,15.3,56.4,11000
"Moncton, New Brunswick",Women,25 to 54 years,2021,33,5.4,85.8,33000
"Moncton, New Brunswick",Women,25 to 54 years,2022,34.2,2.6,86.5,34200
"Moncton, New Brunswick",Women,25 to 54 years,2023,36.2,3.8,84.8,36200
"Moncton, New Brunswick",Women,25 to 54 years,2024,38.9,3.5,84.3,38900
"Moncton, New Brunswick",Women,25 to 54 years,2025,40.3,5.4,83.1,40300
"Moncton, New Brunswick",Women,55 years and over,2021,25.9,9.7,32.4,25900
"Moncton, New Brunswick",Women,55 years and over,2022,28.8,6.8,28.5,28800
"Moncton, New Brunswick",Women,55 years and over,2023,29.6,x,25.7,29600
"Moncton, New Brunswick",Women,55 years and over,2024,31.1,x,27.7,31100
"Moncton, New Brunswick",Women,55 years and over,2025,30.6,x,24.8,30600
"Saint John, New Brunswick",Men,15 to 24 years,2021,8.3,13.6,60.2,8300
"Saint John, New Brunswick",Men,15 to 24 years,2022,8.8,21.1,51.1,8800
"Saint John, New Brunswick",Men,15 to 24 years,2023,8,18,51.3,8000
"Saint John, New Brunswick",Men,15 to 24 years,2024,8.8,15.1,52.3,8800
"Saint John, New Brunswick",Men,15 to 24 years,2025,8.2,17.6,51.2,8200
"Saint John, New Brunswick",Men,25 to 54 years,2021,24.2,9.2,81,24200
"Saint John, New Brunswick",Men,25 to 54 years,2022,23.9,4.2,85.8,23900
"Saint John, New Brunswick",Men,25 to 54 years,2023,26.4,5,87.1,26400
"Saint John, New Brunswick",Men,25 to 54 years,2024,28.3,6.6,84.8,28300
"Saint John, New Brunswick",Men,25 to 54 years,2025,26.4,6.6,85.2,26400
"Saint John, New Brunswick",Men,55 years and over,2021,22.2,11.1,36,22200
"Saint John, New Brunswick",Men,55 years and over,2022,22.8,9.4,33.8,22800
"Saint John, New Brunswick",Men,55 years and over,2023,23.3,x,33.5,23300
"Saint John, New Brunswick",Men,55 years and over,2024,21.8,5.6,39,21800
"Saint John, New Brunswick",Men,55 years and over,2025,23,7.6,31.7,23000
"Saint John, New Brunswick",Women,15 to 24 years,2021,6.8,10.9,60.3,6800
"Saint John, New Brunswick",Women,15 to 24 years,2022,7.6,x,63.2,7600
"Saint John, New Brunswick",Women,15 to 24 years,2023,6.4,x,62.5,6400
"Saint John, New Brunswick",Women,15 to 24 years,2024,8.1,10,55.6,8100
"Saint John, New Brunswick",Women,15 to 24 years,2025,8.8,16.7,51.1,8800
"Saint John, New Brunswick",Women,25 to 54 years,2021,24.4,8.7,77.9,24400
"Saint John, New Brunswick",Women,25 to 54 years,2022,25.9,5.7,82.6,25900
"Saint John, New Brunswick",Women,25 to 54 years,2023,26.5,3.5,83.4,26500
"Saint John, New Brunswick",Women,25 to 54 years,2024,27.1,4.3,83,27100
"Saint John, New Brunswick",Women,25 to 54 years,2025,26.9,4,81,26900
"Saint John, New Brunswick",Women,55 years and over,2021,25.3,5.9,31.6,25300
"Saint John, New Brunswick",Women,55 years and over,2022,24.4,x,29.1,24400
"Saint John, New Brunswick",Women,55 years and over,2023,25.3,x,27.3,25300
"Saint John, New Brunswick",Women,55 years and over,2024,24.7,x,28.7,24700
"Saint John, New Brunswick",Women,55 years and over,2025,26.9,x,28.3,26900
"Fredericton, New Brunswick",Men,15 to 24 years,2021,6.5,10.6,64.6,6500
"Fredericton, New Brunswick",Men,15 to 24 years,2022,7.3,10,61.6,7300
"Fredericton, New Brunswick",Men,15 to 24 years,2023,7.2,12.8,56.9,7200
"Fredericton, New Brunswick",Men,15 to 24 years,2024,8.4,13.2,54.8,8400
"Fredericton, New Brunswick",Men,15 to 24 years,2025,7.9,17.4,49.4,7900
"Fredericton, New Brunswick",Men,25 to 54 years,2021,20.6,4.7,87.9,20600
"Fredericton, New Brunswick",Men,25 to 54 years,2022,21.4,5.7,85,21400
"Fredericton, New Brunswick",Men,25 to 54 years,2023,22.2,4.8,88.7,22200
"Fredericton, New Brunswick",Men,25 to 54 years,2024,24,6.5,84.2,24000
"Fredericton, New Brunswick",Men,25 to 54 years,2025,25.7,5.1,86.4,25700
"Fredericton, New Brunswick",Men,55 years and over,2021,15.2,9.7,36.8,15200
"Fredericton, New Brunswick",Men,55 years and over,2022,14.8,x,43.9,14800
"Fredericton, New Brunswick",Men,55 years and over,2023,17,x,34.7,17000
"Fredericton, New Brunswick",Men,55 years and over,2024,17.4,x,36.8,17400
"Fredericton, New Brunswick",Men,55 years and over,2025,16.9,x,39.1,16900
"Fredericton, New Brunswick",Women,15 to 24 years,2021,7.9,10.7,63.3,7900
"Fredericton, New Brunswick",Women,15 to 24 years,2022,8.6,x,67.4,8600
"Fredericton, New Brunswick",Women,15 to 24 years,2023,7.3,x,61.6,7300
"Fredericton, New Brunswick",Women,15 to 24 years,2024,7.4,10.6,56.8,7400
"Fredericton, New Brunswick",Women,15 to 24 years,2025,7.3,19.6,50.7,7300
"Fredericton, New Brunswick",Women,25 to 54 years,2021,22.6,5.1,82.7,22600
"Fredericton, New Brunswick",Women,25 to 54 years,2022,22.6,4,85.4,22600
"Fredericton, New Brunswick",Women,25 to 54 years,2023,23.9,x,84.1,23900
"Fredericton, New Brunswick",Women,25 to 54 years,2024,26.3,3,86.3,26300
"Fredericton, New Brunswick",Women,25 to 54 years,2025,26.8,4.2,85.1,26800
"Fredericton, New Brunswick",Women,55 years and over,2021,18.7,x,27.3,18700
"Fredericton, New Brunswick",Women,55 years and over,2022,19.5,x,26.2,19500
"Fredericton, New Brunswick",Women,55 years and over,2023,20.3,x,27.1,20300
"Fredericton, New Brunswick",Women,55 years and over,2024,18.3,x,26.8,18300
"Fredericton, New Brunswick",Women,55 years and over,2025,19.4,x,27.3,19400
"Saguenay, Quebec",Men,15 to 24 years,2021,7.6,x,71.1,7600
"Saguenay, Quebec",Men,15 to 24 years,2022,8.4,x,76.2,8400
"Saguenay, Quebec",Men,15 to 24 years,2023,7,x,68.6,7000
"Saguenay, Quebec",Men,15 to 24 years,2024,9.5,x,72.6,9500
"Saguenay, Quebec",Men,15 to 24 years,2025,9.9,x,68.7,9900
"Saguenay, Quebec",Men,25 to 54 years,2021,27.1,x,88.9,27100
"Saguenay, Quebec",Men,25 to 54 years,2022,28.2,x,89.4,28200
"Saguenay, Quebec",Men,25 to 54 years,2023,27.5,x,89.1,27500
"Saguenay, Quebec",Men,25 to 54 years,2024,26.5,x,90.2,26500
"Saguenay, Quebec",Men,25 to 54 years,2025,32,x,87.2,32000
"Saguenay, Quebec",Men,55 years and over,2021,33.7,x,29.1,33700
"Saguenay, Quebec",Men,55 years and over,2022,31.6,x,33.5,31600
"Saguenay, Quebec",Men,55 years and over,2023,33.8,x,33.4,33800
"Saguenay, Quebec",Men,55 years and over,2024,34.9,x,31.2,34900
"Saguenay, Quebec",Men,55 years and over,2025,31.5,x,29.5,31500
"Saguenay, Quebec",Women,15 to 24 years,2021,6.9,x,73.9,6900
"Saguenay, Quebec",Women,15 to 24 years,2022,6.5,x,73.8,6500
"Saguenay, Quebec",Women,15 to 24 years,2023,6.9,x,75.4,6900
"Saguenay, Quebec",Women,15 to 24 years,2024,8.6,x,81.4,8600
"Saguenay, Quebec",Women,15 to 24 years,2025,9.5,x,75.8,9500
"Saguenay, Quebec",Women,25 to 54 years,2021,25,x,86.8,25000
"Saguenay, Quebec",Women,25 to 54 years,2022,26.2,x,88.2,26200
"Saguenay, Quebec",Women,25 to 54 years,2023,26.9,x,87.4,26900
"Saguenay, Quebec",Women,25 to 54 years,2024,25.4,x,88.2,25400
"Saguenay, Quebec",Women,25 to 54 years,2025,27.8,x,87.8,27800
"Saguenay, Quebec",Women,55 years and over,2021,35.4,x,22.9,35400
"Saguenay, Quebec",Women,55 years and over,2022,36,x,23.6,36000
"Saguenay, Quebec",Women,55 years and over,2023,36.9,x,21.4,36900
"Saguenay, Quebec",Women,55 years and over,2024,36.7,x,23.2,36700
"Saguenay, Quebec",Women,55 years and over,2025,33,x,21.8,33000
"Québec, Quebec",Men,15 to 24 years,2021,44.1,7.7,67.6,44100
"Québec, Quebec",Men,15 to 24 years,2022,44.8,4.5,70.1,44800
"Québec, Quebec",Men,15 to 24 years,2023,48.4,6.5,70.9,48400
"Québec, Quebec",Men,15 to 24 years,2024,47.9,7.4,70.6,47900
"Québec, Quebec",Men,15 to 24 years,2025,50.4,10.3,67.7,50400
"Québec, Quebec",Men,25 to 54 years,2021,165,2.8,91.8,165000
"Québec, Quebec",Men,25 to 54 years,2022,165.2,2.6,92.1,165200
"Québec, Quebec",Men,25 to 54 years,2023,168.9,2.2,93.5,168900
"Québec, Quebec",Men,25 to 54 years,2024,169.8,3.6,91.1,169800
"Québec, Quebec",Men,25 to 54 years,2025,188.6,3.3,91.5,188600
"Québec, Quebec",Men,55 years and over,2021,137.7,4.3,37.2,137700
"Québec, Quebec",Men,55 years and over,2022,137.9,3,37.4,137900
"Québec, Quebec",Men,55 years and over,2023,135.9,3,38.4,135900
"Québec, Quebec",Men,55 years and over,2024,144.8,3.6,39.1,144800
"Québec, Quebec",Men,55 years and over,2025,141.6,3.4,38.2,141600
"Québec, Quebec",Women,15 to 24 years,2021,40.8,6.8,70.6,40800
"Québec, Quebec",Women,15 to 24 years,2022,41.9,x,74.9,41900
"Québec, Quebec",Women,15 to 24 years,2023,46.4,x,80.4,46400
"Québec, Quebec",Women,15 to 24 years,2024,49.4,6.4,73.9,49400
"Québec, Quebec",Women,15 to 24 years,2025,51.4,7.5,73.7,51400
"Québec, Quebec",Women,25 to 54 years,2021,158.7,3.4,88.3,158700
"Québec, Quebec",Women,25 to 54 years,2022,160.7,2.2,89.7,160700
"Québec, Quebec",Women,25 to 54 years,2023,166.6,2.3,89.8,166600
"Québec, Quebec",Women,25 to 54 years,2024,164.5,3,89.4,164500
"Québec, Quebec",Women,25 to 54 years,2025,172.3,3.1,91.1,172300
"Québec, Quebec",Women,55 years and over,2021,150.4,6.5,25.7,150400
"Québec, Quebec",Women,55 years and over,2022,155.3,4.3,25.9,155300
"Québec, Quebec",Women,55 years and over,2023,154,x,26.6,154000
"Québec, Quebec",Women,55 years and over,2024,162.7,3.3,28.6,162700
"Québec, Quebec",Women,55 years and over,2025,150.1,4.4,24.8,150100
"Sherbrooke, Quebec",Men,15 to 24 years,2021,14.3,x,60.8,14300
"Sherbrooke, Quebec",Men,15 to 24 years,2022,13.9,x,65.5,13900
"Sherbrooke, Quebec",Men,15 to 24 years,2023,13,x,63.1,13000
"Sherbrooke, Quebec",Men,15 to 24 years,2024,13.6,x,70.6,13600
"Sherbrooke, Quebec",Men,15 to 24 years,2025,15.4,x,64.9,15400
"Sherbrooke, Quebec",Men,25 to 54 years,2021,40.2,x,86.3,40200
"Sherbrooke, Quebec",Men,25 to 54 years,2022,40.5,x,87.2,40500
"Sherbrooke, Quebec",Men,25 to 54 years,2023,44.6,4.5,85.7,44600
"Sherbrooke, Quebec",Men,25 to 54 years,2024,46,4.5,88,46000
"Sherbrooke, Quebec",Men,25 to 54 years,2025,45.2,5.1,86.9,45200
"Sherbrooke, Quebec",Men,55 years and over,2021,39,x,38.5,39000
"Sherbrooke, Quebec",Men,55 years and over,2022,41.5,x,35.4,41500
"Sherbrooke, Quebec",Men,55 years and over,2023,39.8,x,32.7,39800
"Sherbrooke, Quebec",Men,55 years and over,2024,40.9,x,32.5,40900
"Sherbrooke, Quebec",Men,55 years and over,2025,41.8,x,31.1,41800
"Sherbrooke, Quebec",Women,15 to 24 years,2021,12.4,x,69.4,12400
"Sherbrooke, Quebec",Women,15 to 24 years,2022,11.8,x,73.7,11800
"Sherbrooke, Quebec",Women,15 to 24 years,2023,13.4,x,68.7,13400
"Sherbrooke, Quebec",Women,15 to 24 years,2024,14.7,x,69.4,14700
"Sherbrooke, Quebec",Women,15 to 24 years,2025,13.1,x,71,13100
"Sherbrooke, Quebec",Women,25 to 54 years,2021,40.5,x,86.4,40500
"Sherbrooke, Quebec",Women,25 to 54 years,2022,41.3,x,85.5,41300
"Sherbrooke, Quebec",Women,25 to 54 years,2023,41.3,x,83.3,41300
"Sherbrooke, Quebec",Women,25 to 54 years,2024,43.2,x,85.4,43200
"Sherbrooke, Quebec",Women,25 to 54 years,2025,44.7,4,85.9,44700
"Sherbrooke, Quebec",Women,55 years and over,2021,44.9,x,24.3,44900
"Sherbrooke, Quebec",Women,55 years and over,2022,45.4,x,22.7,45400
"Sherbrooke, Quebec",Women,55 years and over,2023,46,x,24.8,46000
"Sherbrooke, Quebec",Women,55 years and over,2024,45.2,x,22.6,45200
"Sherbrooke, Quebec",Women,55 years and over,2025,47.8,x,23,47800
"Trois-Rivières, Quebec",Men,15 to 24 years,2021,7.5,x,69.3,7500
"Trois-Rivières, Quebec",Men,15 to 24 years,2022,8.4,x,67.9,8400
"Trois-Rivières, Quebec",Men,15 to 24 years,2023,8.7,x,70.1,8700
"Trois-Rivières, Quebec",Men,15 to 24 years,2024,10.7,x,68.2,10700
"Trois-Rivières, Quebec",Men,15 to 24 years,2025,11.5,x,67.8,11500
"Trois-Rivières, Quebec",Men,25 to 54 years,2021,30.7,x,86,30700
"Trois-Rivières, Quebec",Men,25 to 54 years,2022,30,x,86,30000
"Trois-Rivières, Quebec",Men,25 to 54 years,2023,29.6,x,86.8,29600
"Trois-Rivières, Quebec",Men,25 to 54 years,2024,30.8,5.3,87.3,30800
"Trois-Rivières, Quebec",Men,25 to 54 years,2025,32.8,x,86,32800
"Trois-Rivières, Quebec",Men,55 years and over,2021,29.9,x,30.8,29900
"Trois-Rivières, Quebec",Men,55 years and over,2022,30.4,x,30.6,30400
"Trois-Rivières, Quebec",Men,55 years and over,2023,31.3,x,30.4,31300
"Trois-Rivières, Quebec",Men,55 years and over,2024,28.8,x,31.3,28800
"Trois-Rivières, Quebec",Men,55 years and over,2025,29.7,x,29.6,29700
"Trois-Rivières, Quebec",Women,15 to 24 years,2021,8,x,71.3,8000
"Trois-Rivières, Quebec",Women,15 to 24 years,2022,7.5,x,74.7,7500
"Trois-Rivières, Quebec",Women,15 to 24 years,2023,9.3,x,74.2,9300
"Trois-Rivières, Quebec",Women,15 to 24 years,2024,12,x,70,12000
"Trois-Rivières, Quebec",Women,15 to 24 years,2025,9.8,x,70.4,9800
"Trois-Rivières, Quebec",Women,25 to 54 years,2021,28.1,x,86.5,28100
"Trois-Rivières, Quebec",Women,25 to 54 years,2022,29.4,x,85.4,29400
"Trois-Rivières, Quebec",Women,25 to 54 years,2023,29.4,x,86.4,29400
"Trois-Rivières, Quebec",Women,25 to 54 years,2024,30.4,x,83.9,30400
"Trois-Rivières, Quebec",Women,25 to 54 years,2025,31.3,x,85.6,31300
"Trois-Rivières, Quebec",Women,55 years and over,2021,32.6,x,19.3,32600
"Trois-Rivières, Quebec",Women,55 years and over,2022,33.1,x,22.7,33100
"Trois-Rivières, Quebec",Women,55 years and over,2023,32.6,x,22.1,32600
"Trois-Rivières, Quebec",Women,55 years and over,2024,31.9,x,21.9,31900
"Trois-Rivières, Quebec",Women,55 years and over,2025,32.2,x,21.4,32200
"Drummondville, Québec ",Men,15 to 24 years,2021,7.6,x,81.6,7600
"Drummondville, Québec ",Men,15 to 24 years,2022,6.2,x,80.6,6200
"Drummondville, Québec ",Men,15 to 24 years,2023,5.9,x,83.1,5900
"Drummondville, Québec ",Men,15 to 24 years,2024,4.3,x,72.1,4300
"Drummondville, Québec ",Men,15 to 24 years,2025,6.1,x,63.9,6100
"Drummondville, Québec ",Men,25 to 54 years,2021,22,x,90.9,22000
"Drummondville, Québec ",Men,25 to 54 years,2022,19.1,x,88,19100
"Drummondville, Québec ",Men,25 to 54 years,2023,18.4,x,92.4,18400
"Drummondville, Québec ",Men,25 to 54 years,2024,14.4,x,84.7,14400
"Drummondville, Québec ",Men,25 to 54 years,2025,21.4,x,82.7,21400
"Drummondville, Québec ",Men,55 years and over,2021,21.5,x,40,21500
"Drummondville, Québec ",Men,55 years and over,2022,24.1,x,30.7,24100
"Drummondville, Québec ",Men,55 years and over,2023,20.4,x,43.1,20400
"Drummondville, Québec ",Men,55 years and over,2024,16.6,x,42.8,16600
"Drummondville, Québec ",Men,55 years and over,2025,14.7,x,42.2,14700
"Drummondville, Québec ",Women,15 to 24 years,2021,7.8,x,70.5,7800
"Drummondville, Québec ",Women,15 to 24 years,2022,6.5,x,67.7,6500
"Drummondville, Québec ",Women,15 to 24 years,2023,7.2,x,66.7,7200
"Drummondville, Québec ",Women,15 to 24 years,2024,3.4,x,64.7,3400
"Drummondville, Québec ",Women,15 to 24 years,2025,6,x,76.7,6000
"Drummondville, Québec ",Women,25 to 54 years,2021,20.6,x,92.2,20600
"Drummondville, Québec ",Women,25 to 54 years,2022,16.1,x,91.3,16100
"Drummondville, Québec ",Women,25 to 54 years,2023,17.8,x,83.1,17800
"Drummondville, Québec ",Women,25 to 54 years,2024,14.7,x,76.9,14700
"Drummondville, Québec ",Women,25 to 54 years,2025,16.6,x,81.3,16600
"Drummondville, Québec ",Women,55 years and over,2021,22.1,x,23.5,22100
"Drummondville, Québec ",Women,55 years and over,2022,26.4,x,28.4,26400
"Drummondville, Québec ",Women,55 years and over,2023,18.5,x,28.1,18500
"Drummondville, Québec ",Women,55 years and over,2024,18.5,x,24.3,18500
"Drummondville, Québec ",Women,55 years and over,2025,17.5,x,22.3,17500
"Montréal, Quebec",Men,15 to 24 years,2021,255,11.5,56.2,255000
"Montréal, Quebec",Men,15 to 24 years,2022,254,9.8,56.7,254000
"Montréal, Quebec",Men,15 to 24 years,2023,257.8,9.7,58.5,257800
"Montréal, Quebec",Men,15 to 24 years,2024,288.2,11.5,55,288200
"Montréal, Quebec",Men,15 to 24 years,2025,280.6,12.8,52.6,280600
"Montréal, Quebec",Men,25 to 54 years,2021,924.4,6.4,85.3,924400
"Montréal, Quebec",Men,25 to 54 years,2022,912.1,4,88.7,912100
"Montréal, Quebec",Men,25 to 54 years,2023,928.7,4.9,87.8,928700
"Montréal, Quebec",Men,25 to 54 years,2024,951.9,5.5,86.5,951900
"Montréal, Quebec",Men,25 to 54 years,2025,970.5,6.1,86.3,970500
"Montréal, Quebec",Men,55 years and over,2021,578.7,6.6,40.9,578700
"Montréal, Quebec",Men,55 years and over,2022,609.4,5.3,40.9,609400
"Montréal, Quebec",Men,55 years and over,2023,624.4,5,44.1,624400
"Montréal, Quebec",Men,55 years and over,2024,645.6,5.8,40.9,645600
"Montréal, Quebec",Men,55 years and over,2025,662.5,6.4,39.7,662500
"Montréal, Quebec",Women,15 to 24 years,2021,243,9.6,58.4,243000
"Montréal, Quebec",Women,15 to 24 years,2022,249.6,8.2,60.2,249600
"Montréal, Quebec",Women,15 to 24 years,2023,250.4,7.8,62.5,250400
"Montréal, Quebec",Women,15 to 24 years,2024,262.5,10.3,57.4,262500
"Montréal, Quebec",Women,15 to 24 years,2025,276.3,9.1,60,276300
"Montréal, Quebec",Women,25 to 54 years,2021,906.1,5.9,80.7,906100
"Montréal, Quebec",Women,25 to 54 years,2022,893.7,4.2,83.4,893700
"Montréal, Quebec",Women,25 to 54 years,2023,903,4.3,84.6,903000
"Montréal, Quebec",Women,25 to 54 years,2024,920.4,5.5,82.3,920400
"Montréal, Quebec",Women,25 to 54 years,2025,936.4,5.4,82.1,936400
"Montréal, Quebec",Women,55 years and over,2021,658.4,7.6,28.4,658400
"Montréal, Quebec",Women,55 years and over,2022,666.5,4,29.9,666500
"Montréal, Quebec",Women,55 years and over,2023,694.3,4.3,31.4,694300
"Montréal, Quebec",Women,55 years and over,2024,703.7,5,29.2,703700
"Montréal, Quebec",Women,55 years and over,2025,733.5,4.9,30.9,733500
"Ottawa-Gatineau, Quebec",Men,15 to 24 years,2021,19.9,14,55.8,19900
"Ottawa-Gatineau, Quebec",Men,15 to 24 years,2022,19.2,x,65.6,19200
"Ottawa-Gatineau, Quebec",Men,15 to 24 years,2023,20.3,10.9,60.6,20300
"Ottawa-Gatineau, Quebec",Men,15 to 24 years,2024,20.1,17.4,56.7,20100
"Ottawa-Gatineau, Quebec",Men,15 to 24 years,2025,25,15,61.6,25000
"Ottawa-Gatineau, Quebec",Men,25 to 54 years,2021,67.5,4.3,88.9,67500
"Ottawa-Gatineau, Quebec",Men,25 to 54 years,2022,70.4,3.5,89.3,70400
"Ottawa-Gatineau, Quebec",Men,25 to 54 years,2023,73,3.9,87.8,73000
"Ottawa-Gatineau, Quebec",Men,25 to 54 years,2024,73.4,5.1,88.3,73400
"Ottawa-Gatineau, Quebec",Men,25 to 54 years,2025,73.9,6.3,85.9,73900
"Ottawa-Gatineau, Quebec",Men,55 years and over,2021,53.4,x,38.4,53400
"Ottawa-Gatineau, Quebec",Men,55 years and over,2022,53.3,x,41.5,53300
"Ottawa-Gatineau, Quebec",Men,55 years and over,2023,52.2,x,38.5,52200
"Ottawa-Gatineau, Quebec",Men,55 years and over,2024,52.8,x,36.6,52800
"Ottawa-Gatineau, Quebec",Men,55 years and over,2025,54.1,x,34,54100
